 names equipos
0 "19
 L. Marković
RM RW" Fulham
1 "O. Popescu
LW RW CM" "FCSB (Steaua)"
2 "Antony
RW" Ajax
3 "N. Lang
LW RW ST" "Club Brugge KV"
4 "Rafael Leão
LW ST LM" "AC Milan"
5 "E. Haaland
ST" "Borussia Dortmund"
6 "I. Touré
CB" "Le Havre AC"
7 "T. Malacia
LB" Feyenoord
8 "Gavi
CM LW RW" "FC Barcelona"
9 "L. Martínez
CB LB CDM" Ajax
10 "R. Højlund
ST" "SK Sturm Graz"
11 "Vitinha
CM CAM" "FC Porto"
12 "A. Tchouaméni
CM CDM" "AS Monaco"
13 "C. De Ketelaere
ST LW CAM" "Club Brugge KV"
14 "J. Gvardiol
CB LB" "RB Leipzig"
15 "H. Badstuber
CB" "FC Luzern"
16 "Cristiano Ronaldo
ST" "Manchester United"
17 "O. Wijndal
LB" "AZ Alkmaar"
18 "B. Šeško
ST" "FC Red Bull Salzburg"
19 "N. Mbamba
CB CDM" "Club Brugge KV"
20 "L. Messi
RW ST CF" "Paris Saint-Germain"
21 "J. Álvarez
ST RW LW" "River Plate"
22 "J. Siebatcheu
ST" "BSC Young Boys"
23 "C. Eriksen
CM CAM" Brentford
24 "M. Ødegaard
CAM CM" Arsenal
25 "Diogo Dalot
RB" "Manchester United"
26 "E. Álvarez
CDM" Ajax
27 "Y. Moukoko
ST" "Borussia Dortmund"
28 "J. Timber
CB RB" Ajax
29 "K. Adeyemi
ST" "FC Red Bull Salzburg"
30 "A. Mitrović
ST" Fulham
31 "K. Mbappé
ST LW" "Paris Saint-Germain"
32 "J. Sancho
LW RW LM" "Manchester United"
33 "K. Asllani
CDM CM" Empoli
34 "M. Maignan
GK" "AC Milan"
35 "R. Gravenberch
CM" Ajax
36 "D. Vlahović
ST" Juventus
37 "E. Camavinga
CM CDM" "Real Madrid CF"
38 "Pedri
CM" "FC Barcelona"
39 "Nico Williams
RM LM" "Athletic Club de Bilbao"
40 "F. Wirtz
CAM CM" "Bayer 04 Leverkusen"
41 "R. Lavia
CDM" "Manchester City"
42 "Richarlison
ST LW" Everton
43 "X. Simons
CF CM" "Paris Saint-Germain"
44 "João Pedro
ST LM" Watford
45 "Álex Balde
LB" "FC Barcelona"
46 "Z. Çelik
RB" "LOSC Lille"
47 "D. Frattesi
CM CDM" "U.S. Sassuolo Calcio"
48 "E. Fernández
CM CDM" "River Plate"
49 "S. Boey
RB LB" "Galatasaray SK"
50 "F. Carvalho
CAM CM RM" Fulham
51 "Raphinha
RM RW" "Leeds United"
52 "N. Rovella
CM CDM" Genoa
53 "D. Rensch
RB LB" Ajax
54 "A. Mac Allister
CAM CM" "Brighton & Hove Albion"
55 "N. Madueke
RM" PSV
56 "A. Elanga
RW LW RM" "Manchester United"
57 "Gabriel Jesus
RW ST" "Manchester City"
58 "Renato Sanches
CM RM" "LOSC Lille"
59 "C. Nkunku
CAM CF ST" "RB Leipzig"
60 "W. Zaha
LW CF" "Crystal Palace"
61 "K. Ayhan
CB" "U.S. Sassuolo Calcio"
62 "D. Zakaria
CDM CB" Juventus
63 "Gabriel Jesus
RW ST" "Manchester City"
64 "Renato Sanches
CM RM" "LOSC Lille"
65 "Arthur
CM" Juventus
66 "A. Davies
LB LM" "FC Bayern München"
67 "N. Zaniolo
CF RW RM" Roma
68 "J. David
ST" "LOSC Lille"
69 "Gabriel Martinelli
LM" Arsenal
70 "C. Ramsay
RB" Aberdeen
71 "D. Núñez
ST LW" "SL Benfica"
72 "Alejandro Garnacho
LM LW RM" "Manchester United"
73 "G. Bale
RW RM" "Los Angeles FC"
74 "M. Icardi
ST" "Paris Saint-Germain"
75 "I. Toney
ST" Brentford
76 "M. Rashford
LW RW ST" "Manchester United"
77 "Vinícius Jr.
LW" "Real Madrid CF"
78 "J. Bellingham
CM LM" "Borussia Dortmund"
79 "Gonçalo Ramos
ST CF" "SL Benfica"
80 "L. Suárez
ST" "Atlético de Madrid"
81 "Héctor Bellerín
RB" "Real Betis Balompié"
82 "E. Can
CM CB CDM" "Borussia Dortmund"
83 "Bruno Fernandes
CAM CM" "Manchester United"
84 "F. Kessié
CDM CM CAM" "AC Milan"
85 "M. de Ligt
CB" Juventus
86 "F. Valverde
CM RW RM" "Real Madrid CF"
87 "A. Vranckx
CM CDM" "VfL Wolfsburg"
88 "G. Raspadori
ST LW" "U.S. Sassuolo Calcio"
89 "Ansu Fati
LW" "FC Barcelona"
90 "A. Broja
ST" Southampton
91 "J. Musiala
LM CAM CM" "FC Bayern München"
92 "A. Zakharyan
LW RW CM" Russia
93 "Neymar Jr
LW CAM" "Paris Saint-Germain"
94 "K. De Bruyne
CM CAM" "Manchester City"
95 "A. Griezmann
ST CF RW" "Atlético de Madrid"
96 "P. Pogba
CM LM CDM" "Manchester United"
97 "K. Havertz
CAM CF ST" Chelsea
98 "D. Zagadou
CB" "Borussia Dortmund"
99 "Cucurella
LB LM LWB" "Brighton & Hove Albion"
100 "S. Kalajdžić
ST" "VfB Stuttgart"
101 "Ferran Torres
RW LW ST" "FC Barcelona"
102 "Sergio Gómez
LB RM LM" "RSC Anderlecht"
103 "João Félix
CF ST" "Atlético de Madrid"
104 "N. Williams
RB" Fulham
105 "H. Elliott
CAM CM RW" Liverpool
106 "T. Nianzou
CB CDM" "FC Bayern München"
107 "M. Cho
ST" "Angers SCO"
108 "W. Gnonto
ST LM" "FC Zürich"
109 "Kayky
RW" "Manchester City"
110 "T. Abraham
ST" Roma
111 "Carlos Soler
CM RM CDM" "Valencia CF"
112 "N. Mazraoui
RB" Ajax
113 "R. James
RWB RB" Chelsea
114 "Bremer
CB" "Torino F.C."
115 "J. Koundé
CB RB" "Sevilla FC"
116 "Rodrygo
RW LW" "Real Madrid CF"
117 "K. Thuram
CM CDM" "OGC Nice"
118 "S. Dest
RB RM LB" "FC Barcelona"
119 "Y. Musah
RM CM LM" "Valencia CF"
120 "A. Sánchez
CF ST" Inter
121 "Neymar Jr
LW CAM" "Paris Saint-Germain"
122 "F. de Jong
CM" "FC Barcelona"
123 "T. Abraham
ST" Roma
124 "K. Benzema
CF ST" "Real Madrid CF"
125 "Marcelo
LB" "Real Madrid CF"
126 "P. Jones
CB" "Manchester United"
127 "R. Barkley
CAM CM" Chelsea
128 "Rafinha
CM CAM" "Real Sociedad"
129 "M. Depay
CF ST LW" "FC Barcelona"
130 "H. Maguire
CB" "Manchester United"
131 "Y. Tielemans
CM CDM" "Leicester City"
132 "M. Normann
CDM CM" "Norwich City"
133 "I. Bennacer
CDM CM" "AC Milan"
134 "Diogo Costa
GK" "FC Porto"
135 "S. Szymański
CAM LM" Poland
136 "E. Ndicka
CB" "Eintracht Frankfurt"
137 "Y. Bissouma
CDM CM" "Brighton & Hove Albion"
138 "D. Szoboszlai
CAM LM" "RB Leipzig"
139 "Éder Militão
CB" "Real Madrid CF"
140 "N. Vlašić
LM CAM" "West Ham United"
141 "M. Vandevoordt
GK" "KRC Genk"
142 "A. Gordon
LM RM" Everton
143 "S. Diop
LM CAM RM" "AS Monaco"
144 "Emerson Royal
RWB RB" "Tottenham Hotspur"
145 "Bruno Guimarães
CM CDM" "Newcastle United"
146 "W. Fofana
CB" "Leicester City"
147 "B. Duncan
ST" "Derby County"
148 "R. Araujo
CB RB" "FC Barcelona"
149 "H. Ekitike
ST LM" "Stade de Reims"
150 "L. Romero
CAM RW LW" Lazio
151 "L. Sučić
CAM CM RM" "FC Red Bull Salzburg"
152 "M. Gusto
RB" "Olympique Lyonnais"
153 "C. Chukwuemeka
CAM CM" "Aston Villa"
154 "D. Udogie
LWB LM LB" "Udinese Calcio"
155 "D. Scarlett
ST" "Tottenham Hotspur"
156 "Francisco Conceição
RM" "FC Porto"
157 "A. Isak
ST" "Real Sociedad"
158 "Lucas Paquetá
CAM CM CF" "Olympique Lyonnais"
159 "D. Rice
CDM" "West Ham United"
160 "A. Hakimi
RB RWB" "Paris Saint-Germain"
161 "Kim Min Jae
CB" "Fenerbahçe SK"
162 "D. Man
RW ST" Parma
163 "N. De la Cruz
CM CAM LW" "River Plate"
164 "A. Gouiri
ST LM" "OGC Nice"
165 "R. Aït Nouri
LWB LB" "Wolverhampton Wanderers"
166 "M. Simakan
CB RB" "RB Leipzig"
167 "M. Mudryk
LM CAM" "Shakhtar Donetsk"
168 "A. Hložek
CAM LM ST" "AC Sparta Praha"
169 "B. Saka
RM LM" Arsenal
170 "L. Stergiou
CB" "FC St. Gallen 1879"
171 "B. Aaronson
CAM CM" "FC Red Bull Salzburg"
172 "A. Bella Kotchap
CB" "VfL Bochum 1848"
173 "A. Velasco
LM LW CAM" "FC Dallas"
174 "S. Ricci
CM CDM" "Torino F.C."
175 "M. Caicedo
CM" "Brighton & Hove Albion"
176 "F. Farías
ST CF" "Club Atlético Colón"
177 "Fábio Vieira
CAM RM" "FC Porto"
178 "A. Karabec
CAM CM LM" "AC Sparta Praha"
179 "A. Virginius
RM" "FC Sochaux-Montbéliard"
180 "T. Huddlestone
CDM" "Hull City"
181 "21
 Diego Costa
ST" "Atlético de Madrid"
182 "T. Alderweireld
CB" Belgium
183 "İ. Gündoğan
CM CDM" "Manchester City"
184 "R. Jiménez
ST" "Wolverhampton Wanderers"
185 "L. Paredes
CDM CM" "Paris Saint-Germain"
186 "Grimaldo
LB LWB LM" "SL Benfica"
187 "P. Dybala
CF RW" Juventus
188 "17
 H. Mastour
CAM CF" "PEC Zwolle"
189 "Rafa
RM CF LM" "SL Benfica"
190 "C. Lenglet
CB" "FC Barcelona"
191 "Marcos Llorente
CM RM RB" "Atlético de Madrid"
192 "G. Scamacca
ST" "U.S. Sassuolo Calcio"
193 "O. Dembélé
RW" "FC Barcelona"
194 "Rodri
CDM" "Manchester City"
195 "F. Tomori
CB" "AC Milan"
196 "T. Tomiyasu
RB" Arsenal
197 "R. Varane
CB" "Manchester United"
198 "H. Kane
ST" "Tottenham Hotspur"
199 "V. van Dijk
CB" Liverpool
200 "J. Grealish
LW LM CAM" "Manchester City"
201 "Andreas Pereira
CAM RM" "Manchester United"
202 "K. Mbabu
RB" "VfL Wolfsburg"
203 "D. Berardi
RM RW" "U.S. Sassuolo Calcio"
204 "A. Saint-Maximin
LM ST" "Newcastle United"
205 "Bernardo Silva
CAM CM" "Manchester City"
206 "Mariano
ST" "Real Madrid CF"
207 "D. Ćaleta-Car
CB" "Olympique de Marseille"
208 "M. Thuram
LM ST" "Borussia Mönchengladbach"
209 "A. Wan-Bissaka
RB" "Manchester United"
210 "B. White
CB" Arsenal
211 "F. Chiesa
RW LW RM" Juventus
212 "R. Sessegnon
LWB LB LW" "Tottenham Hotspur"
213 "D. Raum
LWB LM LB" "TSG Hoffenheim"
214 "Kim Min Jae
CB" "Fenerbahçe SK"
215 "S. McTominay
CDM CM" "Manchester United"
216 "P. Foden
LW CF CAM" "Manchester City"
217 "C. Gakpo
LM ST" PSV
218 "G. Bazunu
GK" Portsmouth
219 "M. Lacroix
CB" "VfL Wolfsburg"
220 "Vinícius
ST" PSV
221 "Sancet
ST CAM" "Athletic Club de Bilbao"
222 "G. Reyna
CAM RM LM" "Borussia Dortmund"
223 "B. Dia
ST RW" "Villarreal CF"
224 "M. Daramy
LW ST" Ajax
225 "M. Solomon
LM RM CAM" "Shakhtar Donetsk"
226 "A. Bernabei
LB LW LM" "Club Atlético Lanús"
227 "G. Slonina
GK" "Chicago Fire Football Club"
228 "R. Cherki
RM" "Olympique Lyonnais"
229 "Y. Demir
RW CAM" "SK Rapid Wien"
230 "Nuno Mendes
LB LWB" "Paris Saint-Germain"
231 "K. Taylor
CM" Ajax
232 "Nico González
CM" "FC Barcelona"
233 "K. Sulemana
LM ST" "Stade Rennais FC"
234 "Evanilson
ST" "FC Porto"
235 "Gonçalo Inácio
CB" "Sporting CP"
236 "A. Virginius
RM" "FC Sochaux-Montbéliard"
237 "A. Schjelderup
CAM LW ST" "FC Nordsjælland"
238 "T. Livramento
RB RWB" Southampton
239 "C. Lukeba
CB" "Olympique Lyonnais"
240 "P. Aubameyang
ST" "FC Barcelona"
241 "Thiago
CM CDM" Liverpool
242 "D. Sidibé
RB CB" "AS Monaco"
243 "R. Varane
CB" "Manchester United"
244 "H. Ziyech
RW CAM" Chelsea
245 "João Cancelo
LB RB" "Manchester City"
246 "J. Denayer
CB" "Olympique Lyonnais"
247 "Marco Asensio
RW" "Real Madrid CF"
248 "D. van de Beek
CM CDM CAM" Everton
249 "L. Klostermann
CB RB" "RB Leipzig"
250 "H. Winks
CM CDM" "Tottenham Hotspur"
251 "Dani Ceballos
CM CDM" "Real Madrid CF"
252 "B. Godfrey
CB LB" Everton
253 "O. Boscagli
CB LB CDM" PSV
254 "N. Mukiele
RB CB RM" "RB Leipzig"
255 "M. Rashica
LM ST" "Norwich City"
256 "T. Alexander-Arnold
RB" Liverpool
257 "Toni Lato
LB LWB LM" "Valencia CF"
258 "Ç. Söyüncü
CB" "Leicester City"
259 "L. Jović
ST" "Real Madrid CF"
260 "J. Sánchez
RB" "Club América"
261 "E. Barco
LM ST" "River Plate"
262 "Luiz Felipe
CB" Lazio
263 "Douglas Luiz
CDM CM" "Aston Villa"
264 "M. Kean
ST" Juventus
265 "G. Berterame
ST RM" "Club Atlético de San Luis"
266 "A. Bastoni
CB" Inter
267 "R. Kolo Muani
ST RM" "FC Nantes"
268 "Rúben Dias
CB" "Manchester City"
269 "M. Aarons
RB RWB" "Norwich City"
270 "Matheus Cunha
ST CAM LM" "Atlético de Madrid"
271 "E. Smith Rowe
LM CAM" Arsenal
272 "R. Baku
RM RB CM" "VfL Wolfsburg"
273 "Pedro Gonçalves
RW LW CF" "Sporting CP"
274 "L. Geertruida
RB CB" Feyenoord
275 "T. Weah
RM LM ST" "LOSC Lille"
276 "G. Busio
CM CDM" "Venezia FC"
